"","no","G_ID","GDAY_DS","T_ID","WLS","P1","P2","P3","P4","D1","D2","D3","B1","B2","B3","B4","C1","C2","C3","C4","S1","S2","W","WS","WC","YEAR","p1","p2","p3","p4","d1","d2","d3","b1","b2","b3","b4","c1","c2","c3","c4","s1","s2"
"18",18,"20160423HHOB0",20160423,"HH","L",0.344827586,3.375,0.172413793,0.5,0,1,0,0.181818182,1,0.205882353,0.303030303,1,0.060606061,0.25,5,0,0.589285714,"LOSE",0,9,2016,0.465517240937069,0.157894736842105,0.320197044417312,0.344444444498025,0,0.25,0,0.350649350674397,0.0625,0.225941422710212,0.2556818181962,0.166666666666667,0.135472371662997,0.25,0.1875,0,0.589285714
"19",19,"20160424HHOB0",20160424,"HH","L",0.214285714,5.625,0.214285714,1.125,3,2,0,0.129032258,4,0.181818182,0.322580645,1,0.032258065,0,7,0,0.589285714,"LOSE",0,9,2016,0.28928571379875,0.263157894736842,0.397959183483965,0.775000000120556,1,0.5,0,0.248847925911784,0.25,0.174591099657967,0.272177419261278,0.166666666666667,0.0721062629496596,0,0.3125,0,0.589285714
"20",20,"20160426HTHH0",20160426,"HH","W",0.258064516,2,0.35483871,0.444444444,0,0,0,0.222222222,7,0.382352941,0.444444444,1,0.111111111,0.125,8,0,0.589285714,"WIN",3,12,2016,0.348387096478065,0.0935672514619883,0.658986176279131,0.306172839247627,0,0,0,0.428571427744898,0.4375,0.602510459849267,0.374999999683594,0.166666666666667,0.248366012852749,0.125,0.375,0,0.589285714
"21",21,"20160428HTHH0",20160428,"HH","W",0.2,1.636363636,0.325,0.454545455,0,0,0,0.236842105,6,0.333333333,0.342105263,0,0.078947368,0.285714286,11,2,1,"WIN",3,15,2016,0.2699999999055,0.0765550239064327,0.603571429088776,0.313131313493154,0,0,0,0.456766916361574,0.375,0.497907949058665,0.288651315701352,0,0.176470587314879,0.285714286,0.5625,0.285714285714286,1
"22",22,"20160429SSHH0",20160429,"HH","W",0.363636364,5,0.242424242,0.444444444,0,2,0,0.394736842,3,0.425,0.763157895,3,0.263157895,0.5,7,0,0.589285714,"WIN",3,18,2016,0.490909091228182,0.233918128654971,0.450216449814471,0.306172839247627,0,0.5,0,0.761278194578813,0.1875,0.693514644322447,0.643914474006862,0.5,0.588235294775086,0.5,0.3125,0,0.589285714
"23",23,"20160430SSHH0",20160430,"HH","L",0.454545455,6,0.090909091,0.666666667,0,2,0,0.225806452,4,0.264705882,0.290322581,0,0.064516129,0.4,6,0,0,"LOSE",0,18,2016,0.613636364035227,0.280701754385965,0.168831169144712,0.459259259560329,0,0.5,0,0.435483871309908,0.25,0.3514644343786,0.244959677757025,0,0.144212523664025,0.4,0.25,0,0
"24",24,"20160501SSHH0",20160501,"HH","W",0.342857143,8,0.2,0.777777778,0,1,0,0.285714286,7,0.405405405,0.714285714,1,0.321428571,0.363636364,4,1,1,"WIN",3,21,2016,0.462857142888,0.374269005847953,0.371428571746939,0.535802469372236,0,0.25,0,0.551020408202624,0.4375,0.651701910223778,0.602678571281669,0.166666666666667,0.718487394084528,0.363636364,0.125,0.142857142857143,1
"25",25,"20160503HHSK0",20160503,"HH","W",0.272727273,2,0.272727273,0.222222222,0,0,0,0.178571429,12,0.41025641,0.464285714,1,0.25,0.2,7,2,1,"WIN",3,24,2016,0.368181818421136,0.0935672514619883,0.506493507434137,0.153086419623813,0,0,0,0.344387755608783,0.75,0.662053427168952,0.39174107124871,0.166666666666667,0.558823529477509,0.2,0.3125,0.285714285714286,1
"26",26,"20160504HHSK0",20160504,"HH","L",0.35483871,5.625,0.064516129,1.125,0,0,0,0.21875,7,0.342105263,0.40625,1,0.03125,0,11,0,0,"LOSE",0,24,2016,0.479032258332339,0.263157894736842,0.119815668245556,0.775000000120556,0,0,0,0.421874999608259,0.4375,0.516626293409346,0.342773437553558,0.166666666666667,0.0698529411846886,0,0.5625,0,0
"27",27,"20160505HHSK0",20160505,"HH","L",0.604166667,21.375,0.104166667,0.625,1,0,0,0.333333333,3,0.380952381,0.641025641,3,0.153846154,0.25,9,1,1,"LOSE",0,24,2016,0.815625000164531,1,0.193452381737245,0.430555555622531,0.333333333333333,0,0,0.642857141617347,0.1875,0.599521817171568,0.54086538467826,0.5,0.343891403099281,0.25,0.4375,0.142857142857143,1
"28",28,"20160506HHKT0",20160506,"HH","L",0.571428571,11.25,0.171428571,0.75,0,3,0,0.27027027,1,0.282051282,0.486486486,0,0.081081081,0.181818182,9,0,0.589285714,"LOSE",0,24,2016,0.77142857058,0.526315789473684,0.318367346415743,0.516666666747037,0,0.75,0,0.521235520230281,0.0625,0.388477631029771,0.410472972626636,0,0.181240063433087,0.181818182,0.4375,0,0.589285714
"29",29,"20160507HHKT0",20160507,"HH","L",0.523809524,19.125,0.214285714,0.75,0,0,1,0.324324324,7,0.431818182,0.648648649,2,0.243243243,0.333333333,7,3,1,"LOSE",0,24,2016,0.7071428571525,0.894736842105263,0.397959183483965,0.516666666747037,0,0,0.25,0.625482624276337,0.4375,0.708063902982926,0.547297297679265,0.333333333333333,0.543720190299261,0.333333333,0.3125,0.428571428571429,1
"30",30,"20160508HHKT0",20160508,"HH","L",0.454545455,7.875,0.121212121,0.625,0,1,0,0.133333333,6,0.257142857,0.266666667,1,0.133333333,0.4,5,0,0.589285714,"LOSE",0,24,2016,0.613636364035227,0.368421052631579,0.225108224907236,0.430555555622531,0,0.25,0,0.257142856261224,0.375,0.335325761785133,0.225000000316406,0.166666666666667,0.29803921497624,0.4,0.1875,0,0.589285714
"31",31,"20160511NCHH0",20160511,"HH","W",0.285714286,5,0.228571429,1,0,1,0,0.361111111,3,0.41025641,0.583333333,0,0.138888889,0.333333333,10,0,0.589285714,"WIN",3,27,2016,0.385714285965,0.233918128654971,0.424489797078134,0.688888888996049,0,0.25,0,0.696428570567602,0.1875,0.662053427168952,0.492187499795654,0,0.31045751662476,0.333333333,0.5,0,0.589285714
"32",32,"20160512NCHH0",20160512,"HH","L",0.416666667,12,0.277777778,1,0,0,1,0.181818182,3,0.25,0.333333333,0,0.03030303,0,8,0,0.589285714,"LOSE",0,27,2016,0.562500000253125,0.56140350877193,0.515873016727891,0.688888888996049,0,0,0.25,0.350649350674397,0.1875,0.320083681994976,0.281249999762695,0,0.0677361847138513,0,0.375,0,0.589285714
"33",33,"20160513HHHT0",20160513,"HH","L",0.259259259,4.5,0.074074074,0.625,0,0,0,0.1875,4,0.277777778,0.25,0,0.0625,0.333333333,7,0,0,"LOSE",0,27,2016,0.3499999995275,0.210526315789474,0.137566137546485,0.430555555622531,0,0,0,0.361607142521365,0.25,0.379358438394169,0.210937500032959,0,0.139705882369377,0.333333333,0.3125,0,0
"34",34,"20160514HHHT0",20160514,"HH","L",0.388888889,9,0.083333333,0.375,0,0,2,0.166666667,0,0.166666667,0.166666667,0,0,0,3,0,0.589285714,"LOSE",0,27,2016,0.52499999996625,0.421052631578947,0.15476190427551,0.258333333373518,0,0,0.5,0.321428571772959,0,0.142259414931286,0.140625000303223,0,0,0,0.0625,0,0.589285714
"35",35,"20160515HHHT0",20160515,"HH","L",0.375,9,0.21875,1.125,0,0,0,0.428571429,5,0.489361702,0.523809524,0,0.166666667,0.285714286,13,3,0.75,"LOSE",0,27,2016,0.506249999822812,0.421052631578947,0.406250000348214,0.775000000120556,0,0,0,0.826530612303936,0.3125,0.83085551469327,0.441964285944057,0,0.37254902039677,0.285714286,0.6875,0.428571428571429,0.75
"36",36,"20160517HHSS0",20160517,"HH","L",0.361111111,4.655172414,0.194444444,0.517241379,0,1,1,0.25,2,0.289473684,0.472222222,2,0.083333333,0,6,1,1,"LOSE",0,27,2016,0.487499999679375,0.217785843929825,0.361111110595238,0.356321838922095,0,0.25,0.25,0.482142856695153,0.125,0.40431622943915,0.398437499874756,0.333333333333333,0.186274509080738,0,0.25,0.142857142857143,1
"37",37,"20160518HHSS0",20160518,"HH","L",0.558823529,14.625,0.147058824,1,0,0,3,0.1875,3,0.235294118,0.1875,0,0.0625,0.333333333,6,0,0.589285714,"LOSE",0,27,2016,0.754411763885956,0.684210526315789,0.273109244805522,0.688888888996049,0,0,0.75,0.361607142521365,0.1875,0.288702929611351,0.158203125024719,0,0.139705882369377,0.333333333,0.25,0,0.589285714
"38",38,"20160519HHSS0",20160519,"HH","W",0.432432432,6,0.108108108,0.222222222,0,0,0,0.27027027,7,0.386363636,0.783783784,4,0.243243243,0.333333333,8,1,1,"WIN",3,30,2016,0.583783782995676,0.280701754385965,0.200772200743519,0.153086419623813,0,0,0,0.521235520230281,0.4375,0.611068846668993,0.661317567853331,0.666666666666667,0.543720190299261,0.333333333,0.375,0.142857142857143,1
"39",39,"20160520KTHH0",20160520,"HH","W",0.333333333,2,0.303030303,0.222222222,0,1,0,0.352941176,6,0.45,0.735294118,2,0.323529412,0.363636364,6,1,1,"WIN",3,33,2016,0.4499999993925,0.0935672514619883,0.562770563196661,0.153086419623813,0,0.25,0,0.680672267367947,0.375,0.746861924654943,0.620404412159438,0.333333333333333,0.723183391614492,0.363636364,0.25,0.142857142857143,1
"40",40,"20160521KTHH0",20160521,"HH","D",0.340909091,6,0.272727273,0.5,0,0,0,0.319148936,10,0.407407407,0.553191489,1,0.170212766,0.3125,14,0,0.589285714,"WIN",1,34,2016,0.46022727268892,0.280701754385965,0.506493507434137,0.344444444498025,0,0,0,0.615501518857034,0.625,0.655973964700587,0.466755318916681,0.166666666666667,0.380475594632997,0.3125,0.75,0,0.589285714
"41",41,"20160522KTHH0",20160522,"HH","L",0.638297872,18,0.085106383,0.555555556,0,1,2,0.275,1,0.292682927,0.725,3,0.175,0.2,7,1,1,"LOSE",0,34,2016,0.861702126898404,0.842105263157895,0.15805471142119,0.382716049748422,0,0.25,0.5,0.530357142364668,0.0625,0.411164404878194,0.611718750095581,0.5,0.391176470634256,0.2,0.3125,0.142857142857143,1
"42",42,"20160524HHWO0",20160524,"HH","L",0.2,2.25,0.24,0.5,1,1,0,0.15625,4,0.25,0.21875,0,0.03125,0.142857143,8,0,0,"LOSE",0,34,2016,0.2699999999055,0.105263157894737,0.445714286096327,0.344444444498025,0.333333333333333,0.25,0,0.301339285434471,0.25,0.320083681994976,0.184570312528839,0,0.0698529411846886,0.142857143,0.375,0,0
"43",43,"20160525HHWO0",20160525,"HH","L",0.447368421,9.346153846,0.131578947,0.692307692,0,1,2,0.378378378,3,0.414634146,0.756756757,2,0.216216216,0.222222222,7,0,0.589285714,"LOSE",0,34,2016,0.603947368138618,0.437246963555556,0.244360901780881,0.476923076785299,0,0.25,0.5,0.729729728322394,0.1875,0.671395039553498,0.638513513818518,0.333333333333333,0.483306835821565,0.222222222,0.3125,0,0.589285714
"44",44,"20160526HHWO0",20160526,"HH","W",0.322580645,6,0.258064516,0.666666667,0,1,0,0.342105263,6,0.418604651,0.447368421,0,0.131578947,0.333333333,10,0,0,"WIN",3,37,2016,0.435483870597581,0.280701754385965,0.479262672982225,0.459259259560329,0,0.25,0,0.659774435173067,0.375,0.679867665285361,0.377467105277729,0,0.294117646269896,0.333333333,0.5,0,0
"45",45,"20160527LTHH0",20160527,"HH","W",0.424242424,7,0.151515152,0.444444444,1,2,0,0.41025641,8,0.488888889,0.615384615,0,0.282051282,0.368421053,12,2,1,"WIN",3,40,2016,0.572727272199545,0.327485380116959,0.281385282526902,0.306172839247627,0.333333333333333,0.5,0,0.791208789979592,0.5,0.829846583187036,0.51923076898738,0,0.630467571603584,0.368421053,0.625,0.285714285714286,1
"46",46,"20160528LTHH0",20160528,"HH","W",0.387096774,6,0.064516129,1.222222222,0,3,0,0.333333333,3,0.384615385,0.722222222,1,0.222222222,0.375,6,0,0.589285714,"WIN",3,43,2016,0.522580644717097,0.280701754385965,0.119815668245556,0.841975308619863,0,0.75,0,0.642857141617347,0.1875,0.60733826922145,0.609374999907715,0.166666666666667,0.496732025705498,0.375,0.25,0,0.589285714
"47",47,"20160529LTHH0",20160529,"HH","W",0.3125,2,0.25,0,0,1,0,0.3125,4,0.371428571,0.6875,2,0.28125,0.8,3,1,1,"WIN",3,46,2016,0.421874999852344,0.0935672514619883,0.464285714683674,0,0,0.25,0,0.602678570868941,0.25,0.579199042695431,0.580078125090637,0.333333333333333,0.628676470662197,0.8,0.0625,0.142857142857143,1
"48",48,"20160531SKHH0",20160531,"HH","W",0.34375,4,0.28125,0.222222222,0,1,0,0.4,4,0.435897436,0.685714286,1,0.228571429,0.444444444,8,0,0.589285714,"WIN",3,49,2016,0.464062499837578,0.187134502923977,0.522321429019133,0.153086419623813,0,0.25,0,0.771428570712245,0.25,0.716768587250344,0.578571428902902,0.166666666666667,0.510924370765991,0.444444444,0.375,0,0.589285714
"49",49,"20160601SKHH0",20160601,"HH","L",0.461538462,7,0.205128205,0.222222222,0,0,0,0.285714286,0,0.285714286,0.457142857,0,0.057142857,0.333333333,6,0,0,"LOSE",0,49,2016,0.623076923481923,0.327485380116959,0.380952381040816,0.153086419623813,0,0,0,0.551020408202624,0,0.396294083079653,0.385714285654018,0,0.127731092132674,0.333333333,0.25,0,0
"50",50,"20160602SKHH0",20160602,"HH","W",0.166666667,1,0.233333333,0.222222222,0,1,0,0.303030303,4,0.378378378,0.484848485,1,0.121212121,0.111111111,9,1,0.5,"WIN",3,52,2016,0.22500000037125,0.0467836257309941,0.433333333085714,0.153086419623813,0,0.25,0,0.584415583814471,0.25,0.594029174786861,0.409090909282671,0.166666666666667,0.270944741090699,0.111111111,0.4375,0.142857142857143,0.5
"51",51,"20160603HHSS0",20160603,"HH","W",0.266666667,2.25,0.222222222,0.416666667,1,1,0,0.2,5,0.265306122,0.288888889,1,0.088888889,0.25,10,3,0.75,"WIN",3,55,2016,0.360000000324,0.105263157894737,0.412698412639456,0.287037037311317,0.333333333333333,0.25,0,0.385714285356122,0.3125,0.352745281240471,0.243750000131836,0.166666666666667,0.198692810729258,0.25,0.5,0.428571428571429,0.75
"52",52,"20160604HHSS0",20160604,"HH","W",0.485714286,7,0.142857143,0.777777778,1,2,1,0.324324324,3,0.358974359,0.648648649,1,0.216216216,0.4,6,0,0.589285714,"WIN",3,58,2016,0.6557142858705,0.327485380116959,0.265306122941691,0.535802469372236,0.333333333333333,0.5,0.25,0.625482624276337,0.1875,0.552623109140058,0.547297297679265,0.166666666666667,0.483306835821565,0.4,0.25,0,0.589285714
"53",53,"20160605HHSS0",20160605,"HH","W",0.361111111,4.5,0.166666667,0.5,0,0,1,0.25,7,0.333333333,0.35,0,0.15,0.285714286,13,1,1,"WIN",3,61,2016,0.487499999679375,0.210526315789474,0.309523810408163,0.344444444498025,0,0,0.25,0.482142856695153,0.4375,0.497907949058665,0.295312500046143,0,0.335294117686505,0.285714286,0.6875,0.142857142857143,1
"54",54,"20160607HTHH0",20160607,"HH","W",0.322580645,3,0.258064516,0.444444444,0,2,0,0.275862069,6,0.388888889,0.551724138,2,0.172413793,0.285714286,7,0,0,"WIN",3,64,2016,0.435483870597581,0.140350877192982,0.479262672982225,0.306172839247627,0,0.5,0,0.532019704005982,0.375,0.616457461857052,0.465517241510237,0.333333333333333,0.385395537339458,0.285714286,0.3125,0,0
"55",55,"20160608HTHH0",20160608,"HH","W",0.161290323,3,0.161290323,0.333333333,0,1,0,0.333333333,4,0.4,0.5,1,0.138888889,0.2,11,2,1,"WIN",3,67,2016,0.21774193597379,0.140350877192982,0.299539171542462,0.22962962943572,0,0.25,0,0.642857141617347,0.25,0.640167363989951,0.421875000065918,0.166666666666667,0.31045751662476,0.2,0.5625,0.285714285714286,1
"56",56,"20160609HTHH0",20160609,"HH","L",0.409090909,12,0.181818182,0.333333333,1,0,0,0.161290323,2,0.212121212,0.290322581,1,0.032258065,0,6,0,0.589285714,"LOSE",0,67,2016,0.552272726956705,0.56140350877193,0.337662338289425,0.22962962943572,0.333333333333333,0,0,0.311059908354016,0.125,0.239254469111328,0.244959677757025,0.166666666666667,0.0721062629496596,0,0.25,0,0.589285714
"57",57,"20160610LGHH0",20160610,"HH","W",0.2,0.9,0.142857143,0.4,0,0,1,0.25,1,0.25,0.416666667,1,0.055555556,0.2,7,0,0.589285714,"WIN",3,70,2016,0.2699999999055,0.0421052631578947,0.265306122941691,0.27555555559842,0,0,0.25,0.482142856695153,0.0625,0.320083681994976,0.351562500336182,0.166666666666667,0.124183007544022,0.2,0.3125,0,0.589285714
"58",58,"20160611LGHH0",20160611,"HH","L",0.394736842,5,0.184210526,0.222222222,0,1,1,0.242424242,8,0.390243902,0.242424242,0,0.090909091,0.222222222,11,0,0.589285714,"LOSE",0,70,2016,0.532894736513487,0.233918128654971,0.342105262864662,0.153086419623813,0,0.25,0.25,0.467532466280148,0.5,0.619348912191659,0.20454545421946,0,0.203208556376848,0.222222222,0.5625,0,0.589285714
"59",59,"20160612LGHH0",20160612,"HH","W",0.457142857,5,0.142857143,0.222222222,0,2,0,0.323529412,8,0.428571429,0.558823529,2,0.176470588,0.3,10,0,0.589285714,"WIN",3,73,2016,0.617142856734,0.233918128654971,0.265306122941691,0.153086419623813,0,0.5,0,0.623949579706333,0.5,0.701135685284471,0.471507352667423,0.333333333333333,0.394463667340525,0.3,0.5,0,0.589285714
"60",60,"20160614HHKT0",20160614,"HH","L",0.321428571,5.625,0.142857143,1,0,2,1,0.205882353,5,0.289473684,0.441176471,2,0.088235294,0,9,0,0,"LOSE",0,73,2016,0.433928570698125,0.263157894736842,0.265306122941691,0.688888888996049,0,0.5,0.25,0.39705882327416,0.3125,0.40431622943915,0.372242647464413,0.333333333333333,0.197231833670263,0,0.4375,0,0
"61",61,"20160616HHKT0",20160616,"HH","L",0.387096774,7.875,0.129032258,0.625,1,2,2,0.324324324,1,0.324324324,0.513513514,1,0.108108108,0.222222222,7,0,0.589285714,"LOSE",0,73,2016,0.522580644717097,0.368421052631579,0.239631336491113,0.430555555622531,0.333333333333333,0.5,0.5,0.625482624276337,0.0625,0.478683703913026,0.4332770275052,0.166666666666667,0.241653417910783,0.222222222,0.3125,0,0.589285714
"62",62,"20160617WOHH0",20160617,"HH","W",0.25,5,0.28125,0.777777778,1,1,0,0.366666667,4,0.428571429,0.833333333,3,0.266666667,0.428571429,5,1,0.333333333,"WIN",3,76,2016,0.337499999881875,0.233918128654971,0.522321429019133,0.535802469372236,0.333333333333333,0.25,0,0.707142857129082,0.25,0.701135685284471,0.703124999828613,0.5,0.596078432187774,0.428571429,0.1875,0.142857142857143,0.333333333
"63",63,"20160618WOHH0",20160618,"HH","L",0.414634146,11,0.243902439,0.444444444,0,0,3,0.297297297,3,0.341463415,0.594594595,1,0.162162162,0.3,8,0,0.589285714,"LOSE",0,76,2016,0.559756096904085,0.514619883040936,0.452961672816824,0.306172839247627,0,0,0.75,0.573359072253309,0.1875,0.515256659601872,0.501689189609639,0.166666666666667,0.362480126866174,0.3,0.375,0,0.589285714
"64",64,"20160619WOHH0",20160619,"HH","L",0.41025641,11,0.102564103,0.666666667,0,1,0,0.257142857,3,0.315789474,0.628571429,1,0.171428571,0.3,5,1,1,"LOSE",0,76,2016,0.553846153306154,0.514619883040936,0.19047619144898,0.459259259560329,0,0.25,0,0.495918366610933,0.1875,0.460471262491194,0.530357143301618,0.166666666666667,0.383193276398023,0.3,0.1875,0.142857142857143,1
"65",65,"20160621HHNC0",20160621,"HH","W",0.166666667,2,0.266666667,0.444444444,0,0,0,0.305555556,4,0.358974359,0.722222222,2,0.222222222,0.375,6,1,1,"WIN",3,79,2016,0.22500000037125,0.0935672514619883,0.495238096281633,0.306172839247627,0,0,0,0.589285714595663,0.25,0.552623109140058,0.609374999907715,0.333333333333333,0.496732025705498,0.375,0.25,0.142857142857143,1
"66",66,"20160623HHNC0",20160623,"HH","D",0.2,2.25,0.25,0.583333333,1,2,1,0.23255814,3,0.266666667,0.325581395,0,0.069767442,0.333333333,8,1,0.5,"WIN",1,80,2016,0.2699999999055,0.105263157894737,0.464285714683674,0.401851851684733,0.333333333333333,0.5,0.25,0.448504983869245,0.1875,0.35564853626127,0.274709302074173,0,0.155950752724229,0.333333333,0.375,0.142857142857143,0.5
"67",67,"20160624LTHH0",20160624,"HH","L",0.375,3.6,0.125,0.2,0,1,0,0.205882353,2,0.228571429,0.382352941,1,0.058823529,0.5,4,0,0,"LOSE",0,80,2016,0.506249999822812,0.168421052631579,0.232142857341837,0.13777777779921,0,0.25,0,0.39705882327416,0.125,0.274357442624504,0.322610294019158,0.166666666666667,0.13148788836841,0.5,0.125,0,0
