no,G_ID,GDAY_DS,T_ID,WLS,P1,P2,P3,P4,D1,D2,D3,B1,B2,B3,B4,C1,C2,C3,C4,S1,S2,W,WS,WC,YEAR,p1,p2,p3,p4,d1,d2,d3,b1,b2,b3,b4,c1,c2,c3,c4,s1,s2
14,20160419HHLT0,20160419,HH,L,0.310344828,3.724137931,0.275862069,1.034482759,0,0,0,0.210526316,6,0.318181818,0.315789474,1,0.078947368,0.2,11,0,0.589285714,LOSE,0,6,2016,0.145888594,0.038329441,1,1,1,0,0,0,1,0.23846378,0,1,0,0.022222222,1,0,0
15,20160420HHLT0,20160420,HH,L,0.552631579,11.25,0.157894737,0.875,0,2,0,0.277777778,2,0.315789474,0.444444444,1,0.111111111,0.375,7,0,0.589285714,LOSE,0,6,2016,1,1,0.170107326,1,1,1,0,0.491017964,0,0.218141093,0.277735479,1,0.236809841,0.877777778,0.25,0,0
16,20160421HHLT0,20160421,HH,W,0.272727273,5,0.272727273,0.444444444,1,1,0,0.393939394,9,0.511627907,0.575757576,0,0.272727273,0.333333333,10,2,0.5,WIN,3,9,2016,0,0.309428951,1,0.281888654,1,1,0,1,1,1,0.792830082,0,1,0.674074074,1,1,0
17,20160422HHOB0,20160422,HH,L,0.5,9,0.117647059,0.375,0,0,1,0.212121212,4,0.297297297,0.393939394,1,0.060606061,0.25,9,0,0.589285714,LOSE,0,9,2016,1,1,0,0.105708245,1,0,1,0,0.5,0.06105222,0.07962217,1,0,0.266666667,0.75,0,0
18,20160423HHOB0,20160423,HH,L,0.344827586,3.375,0.172413793,0.5,0,1,0,0.181818182,1,0.205882353,0.303030303,1,0.060606061,0.25,5,0,0.589285714,LOSE,0,9,2016,0.350132626,0,0.298439768,0.422832981,1,1,0,0,0,0,0,1,0,0.266666667,0,0,0
19,20160424HHOB0,20160424,HH,L,0.214285714,5.625,0.214285714,1.125,3,2,0,0.129032258,4,0.181818182,0.322580645,1,0.032258065,0,7,0,0.589285714,LOSE,0,9,2016,0,0.442231076,0.668541364,1,1,1,0,0,0.5,0,0,1,0,0,0.25,0,0
20,20160426HTHH0,20160426,HH,W,0.258064516,2,0.35483871,0.444444444,0,0,0,0.222222222,7,0.382352941,0.444444444,1,0.111111111,0.125,8,0,0.589285714,WIN,3,12,2016,0,0,1,0.281888654,1,0,0,0,1,0.783589956,0.277735479,1,0.236809841,0,0.5,0,0
21,20160428HTHH0,20160428,HH,W,0.2,1.636363636,0.325,0.454545455,0,0,0,0.236842105,6,0.333333333,0.342105263,0,0.078947368,0.285714286,11,2,1,WIN,3,15,2016,0,0,1,0.307514895,1,0,0,0.129215254,1,0.367174127,0,0,0,0.441269841,1,1,1
22,20160429SSHH0,20160429,HH,W,0.363636364,5,0.242424242,0.444444444,0,2,0,0.394736842,3,0.425,0.763157895,3,0.263157895,0.5,7,0,0.589285714,WIN,3,18,2016,0.461538462,0.309428951,0.917254915,0.281888654,1,1,0,1,0.25,1,1,1,1,1,0.25,0,0
23,20160430SSHH0,20160430,HH,L,0.454545455,6,0.090909091,0.666666667,0,2,0,0.225806452,4,0.264705882,0.290322581,0,0.064516129,0.4,6,0,0,LOSE,0,18,2016,1,0.521912351,0,0.845665962,1,1,0,0.031678578,0.5,0,0,0,0,1,0,0,0
24,20160501SSHH0,20160501,HH,W,0.342857143,8,0.2,0.777777778,0,1,0,0.285714286,7,0.405405405,0.714285714,1,0.321428571,0.363636364,4,1,1,WIN,3,21,2016,0.338461538,0.94687915,0.542271408,1,1,1,0,0.561163388,1,0.97941794,1,1,1,0.822222222,0,1,1
25,20160503HHSK0,20160503,HH,W,0.272727273,2,0.272727273,0.222222222,0,0,0,0.178571429,12,0.41025641,0.464285714,1,0.25,0.2,7,2,1,WIN,3,24,2016,0,0,1,0,1,0,0,0,1,1,0.355565707,1,1,0.022222222,0.25,1,1
26,20160504HHSK0,20160504,HH,L,0.35483871,5.625,0.064516129,1.125,0,0,0,0.21875,7,0.342105263,0.40625,1,0.03125,0,11,0,0,LOSE,0,24,2016,0.40942928,0.442231076,0,1,1,0,0,0,1,0.441690644,0.127912289,1,0,0,1,0,0
27,20160505HHSK0,20160505,HH,L,0.604166667,21.375,0.104166667,0.625,1,0,0,0.333333333,3,0.380952381,0.641025641,3,0.153846154,0.25,9,1,1,LOSE,0,24,2016,1,1,0,0.739957717,1,0,0,0.982035928,0.25,0.771692361,1,1,0.551452288,0.266666667,0.75,1,1
28,20160506HHKT0,20160506,HH,L,0.571428571,11.25,0.171428571,0.75,0,3,0,0.27027027,1,0.282051282,0.486486486,0,0.081081081,0.181818182,9,0,0.589285714,LOSE,0,24,2016,1,1,0.289731495,1,1,1,0,0.424664185,0,0,0.442651423,0,0.015709744,0,0.75,0,0
29,20160507HHKT0,20160507,HH,L,0.523809524,19.125,0.214285714,0.75,0,0,1,0.324324324,7,0.431818182,0.648648649,2,0.243243243,0.333333333,7,3,1,LOSE,0,24,2016,1,1,0.668541364,1,1,0,1,0.902411393,1,1,1,1,1,0.674074074,0.25,1,1
30,20160508HHKT0,20160508,HH,L,0.454545455,7.875,0.121212121,0.625,0,1,0,0.133333333,6,0.257142857,0.266666667,1,0.133333333,0.4,5,0,0.589285714,LOSE,0,24,2016,1,0.920318725,0,0.739957717,1,1,0,0,1,0,0,1,0.400423914,1,0,0,0
31,20160511NCHH0,20160511,HH,W,0.285714286,5,0.228571429,1,0,1,0,0.361111111,3,0.41025641,0.583333333,0,0.138888889,0.333333333,10,0,0.589285714,WIN,3,27,2016,0,0.309428951,0.794811321,1,1,1,0,1,0.25,1,0.822547079,0,0.441327432,0.674074074,1,0,0
32,20160512NCHH0,20160512,HH,L,0.416666667,12,0.277777778,1,0,0,1,0.181818182,3,0.25,0.333333333,0,0.03030303,0,8,0,0.589285714,LOSE,0,27,2016,0.775641026,1,1,1,1,0,1,0,0.25,0,0,0,0,0,0.5,0,0
33,20160513HHHT0,20160513,HH,L,0.259259259,4.5,0.074074074,0.625,0,0,0,0.1875,4,0.277777778,0.25,0,0.0625,0.333333333,7,0,0,LOSE,0,27,2016,0,0.203187251,0,0.739957717,1,0,0,0,0.5,0,0,0,0,0.674074074,0.25,0,0
34,20160514HHHT0,20160514,HH,L,0.388888889,9,0.083333333,0.375,0,0,2,0.166666667,0,0.166666667,0.166666667,0,0,0,3,0,0.589285714,LOSE,0,27,2016,0.611111111,1,0,0.105708245,1,0,1,0,0,0,0,0,0,0,0,0,0
35,20160515HHHT0,20160515,HH,L,0.375,9,0.21875,1.125,0,0,0,0.428571429,5,0.489361702,0.523809524,0,0.166666667,0.285714286,13,3,0.75,LOSE,0,27,2016,0.528846154,1,0.708000726,1,1,0,0,1,0.75,1,0.589056393,0,0.645845022,0.441269841,1,1,0.72
36,20160517HHSS0,20160517,HH,L,0.361111111,4.655172414,0.194444444,0.517241379,0,1,1,0.25,2,0.289473684,0.472222222,2,0.083333333,0,6,1,1,LOSE,0,27,2016,0.446581197,0.236158813,0.493166425,0.466574324,1,1,1,0.245508982,0,0,0.386697799,1,0.032292251,0,0,1,1
37,20160518HHSS0,20160518,HH,L,0.558823529,14.625,0.147058824,1,0,0,3,0.1875,3,0.235294118,0.1875,0,0.0625,0.333333333,6,0,0.589285714,LOSE,0,27,2016,1,1,0.074329804,1,1,0,1,0,0.25,0,0,0,0,0.674074074,0,0,0
38,20160519HHSS0,20160519,HH,W,0.432432432,6,0.108108108,0.222222222,0,0,0,0.27027027,7,0.386363636,0.783783784,4,0.243243243,0.333333333,8,1,1,WIN,3,30,2016,0.869022869,0.521912351,0,0,1,0,0,0.424664185,1,0.817660342,1,1,1,0.674074074,0.5,1,1
39,20160520KTHH0,20160520,HH,W,0.333333333,2,0.303030303,0.222222222,0,1,0,0.352941176,6,0.45,0.735294118,2,0.323529412,0.363636364,6,1,1,WIN,3,33,2016,0.282051282,0,1,0,1,1,0,1,1,1,1,1,1,0.822222222,0,1,1
40,20160521KTHH0,20160521,HH,D,0.340909091,6,0.272727273,0.5,0,0,0,0.319148936,10,0.407407407,0.553191489,1,0.170212766,0.3125,14,0,0.589285714,WIN,1,34,2016,0.326923077,0.521912351,1,0.422832981,1,0,0,0.856669639,1,0.996424713,0.70431137,1,0.671953651,0.572222222,1,0,0
41,20160522KTHH0,20160522,HH,L,0.638297872,18,0.085106383,0.555555556,0,1,2,0.275,1,0.292682927,0.725,3,0.175,0.2,7,1,1,LOSE,0,34,2016,1,1,0,0.563777308,1,1,1,0.466467066,0,0.021853683,1,1,0.707200299,0.022222222,0.25,1,1
42,20160524HHWO0,20160524,HH,L,0.2,2.25,0.24,0.5,1,1,0,0.15625,4,0.25,0.21875,0,0.03125,0.142857143,8,0,0,LOSE,0,34,2016,0,0,0.895827286,0.422832981,1,1,0,0,0.5,0,0,0,0,0,0.5,0,0
43,20160525HHWO0,20160525,HH,L,0.447368421,9.346153846,0.131578947,0.692307692,0,1,2,0.378378378,3,0.414634146,0.756756757,2,0.216216216,0.222222222,7,0,0.589285714,LOSE,0,34,2016,0.957489879,1,0,0.91071719,1,1,1,1,0.25,1,1,1,1,0.130864198,0.25,0,0
44,20160526HHWO0,20160526,HH,W,0.322580645,6,0.258064516,0.666666667,0,1,0,0.342105263,6,0.418604651,0.447368421,0,0.131578947,0.333333333,10,0,0,WIN,3,37,2016,0.218362283,0.521912351,1,0.845665962,1,1,0,1,1,1,0.289205197,0,0.387507013,0.674074074,1,0,0
45,20160527LTHH0,20160527,HH,W,0.424242424,7,0.151515152,0.444444444,1,2,0,0.41025641,8,0.488888889,0.615384615,0,0.282051282,0.368421053,12,2,1,WIN,3,40,2016,0.820512821,0.73439575,0.113718828,0.281888654,1,1,0,1,1,1,0.948272833,0,1,0.845614035,1,1,1
46,20160528LTHH0,20160528,HH,W,0.387096774,6,0.064516129,1.222222222,0,3,0,0.333333333,3,0.384615385,0.722222222,1,0.222222222,0.375,6,0,0.589285714,WIN,3,43,2016,0.600496278,0.521912351,0,1,1,1,0,0.982035928,0.25,0.802809148,1,1,1,0.877777778,0,0,0
47,20160529LTHH0,20160529,HH,W,0.3125,2,0.25,0,0,1,0,0.3125,4,0.371428571,0.6875,2,0.28125,0.8,3,1,1,WIN,3,46,2016,0.158653846,0,0.984216255,0,1,1,0,0.797904192,0.5,0.690788714,1,1,1,1,0,1,1
48,20160531SKHH0,20160531,HH,W,0.34375,4,0.28125,0.222222222,0,1,0,0.4,4,0.435897436,0.685714286,1,0.228571429,0.444444444,8,0,0.589285714,WIN,3,49,2016,0.34375,0.096945551,1,0,1,1,0,1,0.5,1,1,1,1,1,0.5,0,0
49,20160601SKHH0,20160601,HH,L,0.461538462,7,0.205128205,0.222222222,0,0,0,0.285714286,0,0.285714286,0.457142857,0,0.057142857,0.333333333,6,0,0,LOSE,0,49,2016,1,0.73439575,0.587599085,0,1,0,0,0.561163388,0,0,0.327546825,0,0,0.674074074,0,0,0
50,20160602SKHH0,20160602,HH,W,0.166666667,1,0.233333333,0.222222222,0,1,0,0.303030303,4,0.378378378,0.484848485,1,0.121212121,0.111111111,9,1,0.5,WIN,3,52,2016,0,0,0.836901306,0,1,1,0,0.714207948,0.5,0.74982651,0.436226126,1,0.311179874,0,0.75,1,0
51,20160603HHSS0,20160603,HH,W,0.266666667,2.25,0.222222222,0.416666667,1,1,0,0.2,5,0.265306122,0.288888889,1,0.088888889,0.25,10,3,0.75,WIN,3,55,2016,0,0,0.73869134,0.21141649,1,1,0,0,0.75,0,0,1,0.073195769,0.266666667,1,1,0.72
52,20160604HHSS0,20160604,HH,W,0.485714286,7,0.142857143,0.777777778,1,2,1,0.324324324,3,0.358974359,0.648648649,1,0.216216216,0.4,6,0,0.589285714,WIN,3,58,2016,1,0.73439575,0.037191582,1,1,1,1,0.902411393,0.25,0.584991637,1,1,1,1,0,0,0
53,20160605HHSS0,20160605,HH,W,0.361111111,4.5,0.166666667,0.5,0,0,1,0.25,7,0.333333333,0.35,0,0.15,0.285714286,13,1,1,WIN,3,61,2016,0.446581197,0.203187251,0.247641509,0.422832981,1,0,1,0.245508982,1,0.367174127,0,0,0.523134468,0.441269841,1,1,1
54,20160607HTHH0,20160607,HH,W,0.322580645,3,0.258064516,0.444444444,0,2,0,0.275862069,6,0.388888889,0.551724138,2,0.172413793,0.285714286,7,0,0,WIN,3,64,2016,0.218362283,0,1,0.281888654,1,1,0,0.47408631,1,0.839112066,0.698555473,1,0.688159006,0.441269841,0.25,0,0
55,20160608HTHH0,20160608,HH,W,0.161290323,3,0.161290323,0.333333333,0,1,0,0.333333333,4,0.4,0.5,1,0.138888889,0.2,11,2,1,WIN,3,67,2016,0,0,0.200120558,0,1,1,0,0.982035928,0.5,0.933499654,0.495660119,1,0.441327432,0.022222222,1,1,1
56,20160609HTHH0,20160609,HH,L,0.409090909,12,0.181818182,0.333333333,1,0,0,0.161290323,2,0.212121212,0.290322581,1,0.032258065,0,6,0,0.589285714,LOSE,0,67,2016,0.730769231,1,0.381564191,0,1,0,0,0,0,0,0,1,0,0,0,0,0
57,20160610LGHH0,20160610,HH,W,0.2,0.9,0.142857143,0.4,0,0,1,0.25,1,0.25,0.416666667,1,0.055555556,0.2,7,0,0.589285714,WIN,3,70,2016,0,0,0.037191582,0.169133192,1,0,1,0.245508982,0,0,0.168773159,1,0,0.022222222,0.25,0,0
58,20160611LGHH0,20160611,HH,L,0.394736842,5,0.184210526,0.222222222,0,1,1,0.242424242,8,0.390243902,0.242424242,0,0.090909091,0.222222222,11,0,0.589285714,LOSE,0,70,2016,0.645748988,0.309428951,0.402709877,0,1,1,1,0.178551987,1,0.850622748,0,0,0.088069776,0.130864198,1,0,0
59,20160612LGHH0,20160612,HH,W,0.457142857,5,0.142857143,0.222222222,0,2,0,0.323529412,8,0.428571429,0.558823529,2,0.176470588,0.3,10,0,0.589285714,WIN,3,73,2016,1,0.309428951,0.037191582,0,1,1,0,0.895385699,1,1,0.726403855,1,0.718027701,0.511111111,1,0,0
60,20160614HHKT0,20160614,HH,L,0.321428571,5.625,0.142857143,1,0,2,1,0.205882353,5,0.289473684,0.441176471,2,0.088235294,0,9,0,0,LOSE,0,73,2016,0.211538462,0.442231076,0.037191582,1,1,1,1,0,0.75,0,0.264916382,1,0.068383591,0,0.75,0,0
61,20160616HHKT0,20160616,HH,L,0.387096774,7.875,0.129032258,0.625,1,2,2,0.324324324,1,0.324324324,0.513513514,1,0.108108108,0.222222222,7,0,0.589285714,LOSE,0,73,2016,0.600496278,0.920318725,0,0.739957717,1,1,1,0.902411393,0,0.29064365,0.548668815,1,0.214699832,0.130864198,0.25,0,0
62,20160617WOHH0,20160617,HH,W,0.25,5,0.28125,0.777777778,1,1,0,0.366666667,4,0.428571429,0.833333333,3,0.266666667,0.428571429,5,1,0.333333333,WIN,3,76,2016,0,0.309428951,1,1,1,1,0,1,0.5,1,1,1,1,1,0,1,0
63,20160618WOHH0,20160618,HH,L,0.414634146,11,0.243902439,0.444444444,0,0,3,0.297297297,3,0.341463415,0.594594595,1,0.162162162,0.3,8,0,0.589285714,LOSE,0,76,2016,0.763602251,1,0.930320542,0.281888654,1,0,1,0.663537789,0.25,0.436238215,0.866720992,1,0.612680007,0.511111111,0.5,0,0
64,20160619WOHH0,20160619,HH,L,0.41025641,11,0.102564103,0.666666667,0,1,0,0.257142857,3,0.315789474,0.628571429,1,0.171428571,0.3,5,1,1,LOSE,0,76,2016,0.737672584,1,0,0.845665962,1,1,0,0.308639863,0.25,0.218141093,1,1,0.68090518,0.511111111,0,1,1
65,20160621HHNC0,20160621,HH,W,0.166666667,2,0.266666667,0.444444444,0,0,0,0.305555556,4,0.358974359,0.722222222,2,0.222222222,0.375,6,1,1,WIN,3,79,2016,0,0,1,0.281888654,1,0,0,0.736526946,0.5,0.584991637,1,1,1,0.877777778,0,1,1
66,20160623HHNC0,20160623,HH,D,0.2,2.25,0.25,0.583333333,1,2,1,0.23255814,3,0.266666667,0.325581395,0,0.069767442,0.333333333,8,1,0.5,WIN,1,80,2016,0,0,0.984216255,0.634249471,1,1,1,0.091352179,0.25,0,0,0,0,0.674074074,0.5,1,0
67,20160624LTHH0,20160624,HH,L,0.375,3.6,0.125,0.2,0,1,0,0.205882353,2,0.228571429,0.382352941,1,0.058823529,0.5,4,0,0,LOSE,0,80,2016,0.528846154,0.011952191,0,0,1,1,0,0,0,0,0.034172646,1,0,1,0,0,0
68,20160625LTHH0,20160625,HH,W,0.193548387,1,0.129032258,0.444444444,0,1,0,0.394736842,6,0.477272727,0.947368421,3,0.210526316,0.416666667,12,1,1,WIN,3,83,2016,0,0,0,0.281888654,1,1,0,1,1,1,1,1,0.968767533,1,1,1,1
69,20160626LTHH0,20160626,HH,L,0.476190476,12,0.214285714,0.333333333,0,0,0,0.315789474,0,0.307692308,0.578947368,1,0.105263158,0.1,8,0,0.589285714,LOSE,0,83,2016,1,1,0.668541364,0,1,0,0,0.826977624,0,0.149356616,0.805342502,1,0.193753507,0,0.5,0,0
70,20160628HHWO0,20160628,HH,W,0.323529412,3,0.205882353,0.555555556,0,1,3,0.368421053,2,0.375,1.105263158,5,0.342105263,0.625,2,0,0,WIN,3,86,2016,0.2239819,0,0.594264919,0.563777308,1,1,1,1,0,0.721127581,1,1,1,1,0,0,0
71,20160629HHWO0,20160629,HH,L,0.611111111,7.875,0.083333333,0.125,0,3,0,0.272727273,3,0.314285714,0.333333333,0,0.121212121,0.25,5,0,0.589285714,LOSE,0,86,2016,1,0.920318725,0,0,1,1,0,0.446379967,0.25,0.205366833,0,0,0.311179874,0.266666667,0,0,0
72,20160630HHWO0,20160630,HH,L,0.472222222,12.375,0.138888889,0.375,0,1,1,0.342105263,6,0.409090909,0.394736842,0,0.131578947,0.230769231,13,0,0.589285714,LOSE,0,86,2016,1,1,0.002116594,0.105708245,1,1,1,1,1,1,0.082750274,0,0.387507013,0.172649573,1,0,0
73,20160702OBHH0,20160702,HH,L,0.40625,4,0.15625,0.777777778,0,3,1,0.206896552,5,0.314285714,0.275862069,0,0.034482759,0,8,1,1,LOSE,0,86,2016,0.713942308,0.096945551,0.155569666,1,1,1,1,0,0.75,0.205366833,0,0,0,0,0.5,1,1
74,20160706HHSK0,20160706,HH,W,0.225806452,2,0.258064516,0.222222222,1,1,0,0.380952381,9,0.48,0.69047619,1,0.30952381,0.411764706,11,3,1,WIN,3,89,2016,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
75,20160707HHSK0,20160707,HH,W,0.459459459,4,0.189189189,0.111111111,0,1,0,0.409090909,2,0.434782609,0.931818182,4,0.318181818,0.857142857,5,0,0,WIN,3,92,2016,1,0.096945551,0.446715765,0,1,1,0,1,0,1,1,1,1,1,0,0,0
76,20160708SSHH0,20160708,HH,W,0.272727273,3,0.181818182,0.777777778,0,1,0,0.272727273,2,0.294117647,0.757575758,3,0.181818182,0.333333333,5,0,0.589285714,WIN,3,95,2016,0,0,0.381564191,1,1,1,0,0.446379967,0,0.034041464,1,1,0.757400071,0.674074074,0,0,0
77,20160709SSHH0,20160709,HH,D,0.326086957,3,0.108695652,0.166666667,0,0,0,0.279069767,8,0.392156863,0.279069767,0,0.093023256,0.272727273,12,0,0,WIN,1,96,2016,0.239130435,0,0,0,1,0,0,0.502436986,1,0.866873121,0,0,0.103635597,0.377777778,1,0,0
78,20160710SSHH0,20160710,HH,W,0.272727273,6,0.090909091,0.555555556,0,0,0,0.375,8,0.45,0.75,2,0.28125,0.214285714,9,0,0.589285714,WIN,3,99,2016,0,0.521912351,0,0.563777308,1,0,0,1,1,1,1,1,1,0.092063492,0.75,0,0
79,20160712HHLG0,20160712,HH,L,0.333333333,5.625,0.133333333,0.75,0,1,1,0.24137931,5,0.342857143,0.24137931,0,0.137931034,0.25,6,0,0.589285714,LOSE,0,99,2016,0.282051282,0.442231076,0,1,1,1,1,0.169316539,0.75,0.448077774,0,0,0.434275101,0.266666667,0,0,0
80,20160713HHLG0,20160713,HH,W,0.294117647,5,0.264705882,0.333333333,0,0,0,0.297297297,0,0.297297297,0.486486486,0,0.189189189,0.444444444,3,0,0.589285714,WIN,3,102,2016,0.049773756,0.309428951,1,0,1,0,0,0.663537789,0,0.06105222,0.442651423,0,0.811670095,1,0,0,0
81,20160714HHLG0,20160714,HH,W,0.285714286,4,0.257142857,0.222222222,0,0,1,0.297297297,3,0.333333333,0.702702703,2,0.189189189,0.4,6,3,0.75,WIN,3,105,2016,0,0.096945551,1,0,1,0,1,0.663537789,0.25,0.367174127,1,1,0.811670095,1,0,1,0.72
82,20160719KTHH0,20160719,HH,W,0.368421053,7,0.157894737,0.666666667,0,0,0,0.361111111,12,0.5,0.777777778,0,0.444444444,0.529411765,8,1,1,WIN,3,108,2016,0.489878543,0.73439575,0.170107326,0.845665962,1,0,0,1,1,1,1,0,1,1,0.5,1,1
83,20160720KTHH0,20160720,HH,L,0.352941176,4,0.264705882,0.777777778,0,0,1,0.181818182,4,0.25,0.242424242,0,0.03030303,0.166666667,9,0,0.589285714,LOSE,0,108,2016,0.398190045,0.096945551,1,1,1,0,1,0,0.5,0,0,0,0,0,0.75,0,0
84,20160721KTHH0,20160721,HH,W,0.133333333,1,0.3,0,0,0,0,0.342857143,4,0.41025641,0.514285714,1,0.228571429,0.428571429,7,0,0.589285714,WIN,3,111,2016,0,0,1,0,1,0,0,1,0.5,1,0.551697883,1,1,1,0.25,0,0
85,20160722HHLT0,20160722,HH,L,0.363636364,11.25,0.212121212,1.125,1,0,0,0.166666667,4,0.257142857,0.433333333,1,0.066666667,0,6,1,1,LOSE,0,111,2016,0.461538462,1,0.649409553,1,1,0,0,0,0.5,0,0.234150551,1,0,0,0,1,1
86,20160723HHLT0,20160723,HH,L,0.41025641,6.517241379,0.179487179,0.310344828,0,0,0,0.365853659,3,0.409090909,0.609756098,1,0.146341463,0.384615385,9,0,0.589285714,LOSE,0,111,2016,0.737672584,0.631817557,0.360960701,0,1,0,0,1,0.25,1,0.926194164,1,0.496198005,0.924786325,0.75,0,0
87,20160724HHLT0,20160724,HH,W,0.206896552,1,0.275862069,0,0,3,1,0.368421053,6,0.454545455,0.526315789,1,0.210526316,0.4,9,0,0.589285714,WIN,3,114,2016,0,0,1,0,1,1,1,1,1,1,0.59888758,1,0.968767533,1,0.75,0,0
88,20160726SKHH0,20160726,HH,L,0.487179487,9,0.179487179,0.333333333,0,0,0,0.324324324,2,0.358974359,0.486486486,1,0.108108108,0.166666667,8,0,0.589285714,LOSE,0,114,2016,1,1,0.360960701,0,1,0,0,0.902411393,0,0.584991637,0.442651423,1,0.214699832,0,0.5,0,0
89,20160727SKHH0,20160727,HH,W,0.137931034,0,0.137931034,0.333333333,0,2,0,0.272727273,6,0.375,0.636363636,2,0.242424242,0.454545455,8,0,0,WIN,3,117,2016,0,0,0,0,1,1,0,0.446379967,1,0.721127581,1,1,1,1,0.5,0,0
90,20160728SKHH0,20160728,HH,W,0.425,8,0.225,0.111111111,0,1,0,0.323529412,8,0.428571429,0.794117647,3,0.323529412,0.2,7,2,0.666666667,WIN,3,120,2016,0.825,0.94687915,0.763243832,0,1,1,0,0.895385699,1,1,1,1,1,0.022222222,0.25,1,0.346666667
91,20160729HHOB0,20160729,HH,W,0.355555556,6.545454545,0.2,0.454545455,0,0,1,0.261904762,8,0.367346939,0.666666667,2,0.214285714,0.307692308,8,0,0,WIN,3,123,2016,0.413675214,0.637812387,0.542271408,0.307514895,1,0,1,0.350727117,1,0.656115722,1,1,0.996446606,0.548717949,0.5,0,0
