,no,G_ID,GDAY_DS,T_ID,WLS,P1,P2,P3,P4,D1,D2,D3,B1,B2,B3,B4,C1,C2,C3,C4,S1,S2,W,WS,WC,YEAR,p1,p2,p3,p4,d1,d2,d3,b1,b2,b3,b4,c1,c2,c3,c4,s1,s2,P,D,B,C,S
11,11,20160414OBHH0,20160414,HH,L,0.487804878,17,0.170731707,0.666666667,0,1,2,0.161290323,1,0.161290323,0.161290323,0,0.032258065,0.166666667,3,0,0.589285714,LOSE,0,6,2016,0.658536585,0.795321637,0.31707317,0.45925926,0,0.25,0.5,0.311059908,0.0625,0.130786882,0.13608871,0,0.072106263,0.166666667,0.0625,0,0.589285714,0.350988922,0.583333333,0.380901992,0.294068232,0.294642857
12,12,20160415LGHH0,20160415,HH,L,0.545454545,18,0.159090909,1.111111111,0,2,1,0.272727273,2,0.314285714,0.272727273,0,0.03030303,0.090909091,6,0,0.589285714,LOSE,0,6,2016,0.736363635,0.842105263,0.295454546,0.765432099,0,0.5,0.25,0.525974026,0.125,0.457262402,0.230113637,0,0.067736185,0.090909091,0.25,0,0.589285714,0.237888387,0.75,0.394293525,0.227161319,0.294642857
13,13,20160417LGHH0,20160417,HH,L,0.424242424,6,0.333333333,0.666666667,0,0,1,0.205882353,11,0.386363636,0.205882353,0,0.117647059,0.142857143,12,1,1,LOSE,0,6,2016,0.572727272,0.280701754,0.619047619,0.45925926,0,0,0.25,0.397058823,0.6875,0.611068847,0.173713235,0,0.262975779,0.142857143,0.625,0.142857143,1,0.576589833,0.583333333,0.575695077,0.19520823,0.571428571
14,14,20160419HHLT0,20160419,HH,L,0.310344828,3.724137931,0.275862069,1.034482759,0,0,0,0.210526316,6,0.318181818,0.315789474,1,0.078947368,0.2,11,0,0.589285714,LOSE,0,6,2016,0.418965518,0.174228675,0.512315271,0.712643679,0,0,0,0.406015038,0.375,0.465576264,0.266447369,0.166666667,0.176470587,0.2,0.5625,0,0.589285714,0.55161935,0.666666667,0.451892933,0.245159313,0.294642857
15,15,20160420HHLT0,20160420,HH,L,0.552631579,11.25,0.157894737,0.875,0,2,0,0.277777778,2,0.315789474,0.444444444,1,0.111111111,0.375,7,0,0.589285714,LOSE,0,6,2016,0.746052631,0.526315789,0.293233083,0.602777778,0,0.5,0,0.535714286,0.125,0.460471262,0.375,0.166666667,0.248366013,0.375,0.3125,0,0.589285714,0.354521721,0.833333333,0.444285192,0.36938317,0.294642857
16,16,20160421HHLT0,20160421,HH,W,0.272727273,5,0.272727273,0.444444444,1,1,0,0.393939394,9,0.511627907,0.575757576,0,0.272727273,0.333333333,10,2,0.5,WIN,3,9,2016,0.368181818,0.233918129,0.506493507,0.306172839,0.333333333,0.25,0,0.759740259,0.5625,0.878369174,0.485795455,0,0.609625669,0.333333333,0.5,0.285714286,0.5,0.64955518,0.638888889,0.518539589,0.360739751,0.392857143
17,17,20160422HHOB0,20160422,HH,L,0.5,9,0.117647059,0.375,0,0,1,0.212121212,4,0.297297297,0.393939394,1,0.060606061,0.25,9,0,0.589285714,LOSE,0,9,2016,0.675,0.421052632,0.218487395,0.258333333,0,0,0.25,0.409090908,0.25,0.421010968,0.332386364,0.166666667,0.135472372,0.25,0.4375,0,0.589285714,0.466025358,0.583333333,0.409661101,0.27865976,0.294642857
18,18,20160423HHOB0,20160423,HH,L,0.344827586,3.375,0.172413793,0.5,0,1,0,0.181818182,1,0.205882353,0.303030303,1,0.060606061,0.25,5,0,0.589285714,LOSE,0,9,2016,0.465517241,0.157894737,0.320197044,0.344444444,0,0.25,0,0.350649351,0.0625,0.225941423,0.255681818,0.166666667,0.135472372,0.25,0.1875,0,0.589285714,0.588085156,0.75,0.481842717,0.34115976,0.294642857
19,19,20160424HHOB0,20160424,HH,L,0.214285714,5.625,0.214285714,1.125,3,2,0,0.129032258,4,0.181818182,0.322580645,1,0.032258065,0,7,0,0.589285714,LOSE,0,9,2016,0.289285714,0.263157895,0.397959183,0.775,1,0.5,0,0.248847926,0.25,0.1745911,0.272177419,0.166666667,0.072106263,0,0.3125,0,0.589285714,0.517628894,0.5,0.401728652,0.231568232,0.294642857
20,20,20160426HTHH0,20160426,HH,W,0.258064516,2,0.35483871,0.444444444,0,0,0,0.222222222,7,0.382352941,0.444444444,1,0.111111111,0.125,8,0,0.589285714,WIN,3,12,2016,0.348387096,0.093567251,0.658986176,0.306172839,0,0,0,0.428571428,0.4375,0.60251046,0.375,0.166666667,0.248366013,0.125,0.375,0,0.589285714,0.727714747,0.666666667,0.495916782,0.29125817,0.294642857
21,21,20160428HTHH0,20160428,HH,W,0.2,1.636363636,0.325,0.454545455,0,0,0,0.236842105,6,0.333333333,0.342105263,0,0.078947368,0.285714286,11,2,1,WIN,3,15,2016,0.27,0.076555024,0.603571429,0.313131313,0,0,0,0.456766916,0.375,0.497907949,0.288651316,0,0.176470587,0.285714286,0.5625,0.285714286,1,0.735971273,0.666666667,0.672088056,0.224921218,0.642857143
22,22,20160429SSHH0,20160429,HH,W,0.363636364,5,0.242424242,0.444444444,0,2,0,0.394736842,3,0.425,0.763157895,3,0.263157895,0.5,7,0,0.589285714,WIN,3,18,2016,0.490909091,0.233918129,0.45021645,0.306172839,0,0.5,0,0.761278195,0.1875,0.693514644,0.643914474,0.5,0.588235295,0.5,0.3125,0,0.589285714,0.604804098,0.833333333,0.506855786,0.568933824,0.294642857
23,23,20160430SSHH0,20160430,HH,L,0.454545455,6,0.090909091,0.666666667,0,2,0,0.225806452,4,0.264705882,0.290322581,0,0.064516129,0.4,6,0,0,LOSE,0,18,2016,0.613636364,0.280701754,0.168831169,0.45925926,0,0.5,0,0.435483871,0.25,0.351464434,0.244959678,0,0.144212524,0.4,0.25,0,0,0.453808448,0.833333333,0.321785445,0.323553131,0
24,24,20160501SSHH0,20160501,HH,W,0.342857143,8,0.2,0.777777778,0,1,0,0.285714286,7,0.405405405,0.714285714,1,0.321428571,0.363636364,4,1,1,WIN,3,21,2016,0.462857143,0.374269006,0.371428572,0.535802469,0,0.25,0,0.551020408,0.4375,0.65170191,0.602678571,0.166666667,0.718487394,0.363636364,0.125,0.142857143,1,0.499624988,0.75,0.598120533,0.530947606,0.571428571
25,25,20160503HHSK0,20160503,HH,W,0.272727273,2,0.272727273,0.222222222,0,0,0,0.178571429,12,0.41025641,0.464285714,1,0.25,0.2,7,2,1,WIN,3,24,2016,0.368181818,0.093567251,0.506493507,0.15308642,0,0,0,0.344387756,0.75,0.662053427,0.391741071,0.166666667,0.558823529,0.2,0.3125,0.285714286,1,0.722914504,0.666666667,0.668823864,0.403247549,0.642857143
26,26,20160504HHSK0,20160504,HH,L,0.35483871,5.625,0.064516129,1.125,0,0,0,0.21875,7,0.342105263,0.40625,1,0.03125,0,11,0,0,LOSE,0,24,2016,0.479032258,0.263157895,0.119815668,0.775,0,0,0,0.421875,0.4375,0.516626293,0.342773438,0.166666667,0.069852941,0,0.5625,0,0,0.400656379,0.666666667,0.266830761,0.168504902,0
27,27,20160505HHSK0,20160505,HH,L,0.604166667,21.375,0.104166667,0.625,1,0,0,0.333333333,3,0.380952381,0.641025641,3,0.153846154,0.25,9,1,1,LOSE,0,24,2016,0.815625,1,0.193452382,0.430555556,0.333333333,0,0,0.642857142,0.1875,0.599521817,0.540865385,0.5,0.343891403,0.25,0.4375,0.142857143,1,0.236817956,0.555555556,0.483807664,0.414097851,0.571428571
28,28,20160506HHKT0,20160506,HH,L,0.571428571,11.25,0.171428571,0.75,0,3,0,0.27027027,1,0.282051282,0.486486486,0,0.081081081,0.181818182,9,0,0.589285714,LOSE,0,24,2016,0.771428571,0.526315789,0.318367346,0.516666667,0,0.75,0,0.52123552,0.0625,0.388477631,0.410472973,0,0.181240063,0.181818182,0.4375,0,0.589285714,0.37598908,0.916666667,0.470485365,0.231389561,0.294642857
29,29,20160507HHKT0,20160507,HH,L,0.523809524,19.125,0.214285714,0.75,0,0,1,0.324324324,7,0.431818182,0.648648649,2,0.243243243,0.333333333,7,3,1,LOSE,0,24,2016,0.707142857,0.894736842,0.397959183,0.516666667,0,0,0.25,0.625482624,0.4375,0.708063903,0.547297298,0.333333333,0.54372019,0.333333333,0.3125,0.428571429,1,0.319853204,0.583333333,0.582939492,0.474471714,0.714285714
30,30,20160508HHKT0,20160508,HH,L,0.454545455,7.875,0.121212121,0.625,0,1,0,0.133333333,6,0.257142857,0.266666667,1,0.133333333,0.4,5,0,0.589285714,LOSE,0,24,2016,0.613636364,0.368421053,0.225108225,0.430555556,0,0.25,0,0.257142856,0.375,0.335325762,0.225,0.166666667,0.298039215,0.4,0.1875,0,0.589285714,0.453123813,0.75,0.448102382,0.41930147,0.294642857
31,31,20160511NCHH0,20160511,HH,W,0.285714286,5,0.228571429,1,0,1,0,0.361111111,3,0.41025641,0.583333333,0,0.138888889,0.333333333,10,0,0.589285714,WIN,3,27,2016,0.385714286,0.233918129,0.424489797,0.688888889,0,0.25,0,0.696428571,0.1875,0.662053427,0.4921875,0,0.310457517,0.333333333,0.5,0,0.589285714,0.528992123,0.75,0.467069459,0.285947712,0.294642857
32,32,20160512NCHH0,20160512,HH,L,0.416666667,12,0.277777778,1,0,0,1,0.181818182,3,0.25,0.333333333,0,0.03030303,0,8,0,0.589285714,LOSE,0,27,2016,0.5625,0.561403509,0.515873017,0.688888889,0,0,0.25,0.350649351,0.1875,0.320083682,0.28125,0,0.067736185,0,0.375,0,0.589285714,0.425770155,0.583333333,0.399597301,0.173184046,0.294642857
33,33,20160513HHHT0,20160513,HH,L,0.259259259,4.5,0.074074074,0.625,0,0,0,0.1875,4,0.277777778,0.25,0,0.0625,0.333333333,7,0,0,LOSE,0,27,2016,0.35,0.210526316,0.137566138,0.430555556,0,0,0,0.361607143,0.25,0.379358438,0.2109375,0,0.139705882,0.333333333,0.3125,0,0,0.536621067,0.666666667,0.300821933,0.290134804,0
34,34,20160514HHHT0,20160514,HH,L,0.388888889,9,0.083333333,0.375,0,0,2,0.166666667,0,0.166666667,0.166666667,0,0,0,3,0,0.589285714,LOSE,0,27,2016,0.525,0.421052632,0.154761904,0.258333333,0,0,0.5,0.321428572,0,0.142259415,0.140625,0,0,0,0.0625,0,0.589285714,0.487593985,0.5,0.394219925,0.234375,0.294642857
35,35,20160515HHHT0,20160515,HH,L,0.375,9,0.21875,1.125,0,0,0,0.428571429,5,0.489361702,0.523809524,0,0.166666667,0.285714286,13,3,0.75,LOSE,0,27,2016,0.50625,0.421052632,0.40625,0.775,0,0,0,0.826530612,0.3125,0.830855515,0.441964286,0,0.37254902,0.285714286,0.6875,0.428571429,0.75,0.425986842,0.666666667,0.567806234,0.242690827,0.589285714
36,36,20160517HHSS0,20160517,HH,L,0.361111111,4.655172414,0.194444444,0.517241379,0,1,1,0.25,2,0.289473684,0.472222222,2,0.083333333,0,6,1,1,LOSE,0,27,2016,0.4875,0.217785844,0.361111111,0.356321839,0,0.25,0.25,0.482142857,0.125,0.404316229,0.3984375,0.333333333,0.186274509,0,0.25,0.142857143,1,0.574875857,0.666666667,0.596099917,0.317401961,0.571428571
37,37,20160518HHSS0,20160518,HH,L,0.558823529,14.625,0.147058824,1,0,0,3,0.1875,3,0.235294118,0.1875,0,0.0625,0.333333333,6,0,0.589285714,LOSE,0,27,2016,0.754411764,0.684210526,0.273109245,0.688888889,0,0,0.75,0.361607143,0.1875,0.28870293,0.158203125,0,0.139705882,0.333333333,0.25,0,0.589285714,0.286399516,0.416666667,0.323087974,0.305759804,0.294642857
38,38,20160519HHSS0,20160519,HH,W,0.432432432,6,0.108108108,0.222222222,0,0,0,0.27027027,7,0.386363636,0.783783784,4,0.243243243,0.333333333,8,1,1,WIN,3,30,2016,0.583783783,0.280701754,0.200772201,0.15308642,0,0,0,0.52123552,0.4375,0.611068847,0.661317568,0.666666667,0.54372019,0.333333333,0.375,0.142857143,1,0.545800061,0.666666667,0.588830968,0.542180047,0.571428571
39,39,20160520KTHH0,20160520,HH,W,0.333333333,2,0.303030303,0.222222222,0,1,0,0.352941176,6,0.45,0.735294118,2,0.323529412,0.363636364,6,1,1,WIN,3,33,2016,0.449999999,0.093567251,0.562770563,0.15308642,0,0.25,0,0.680672267,0.375,0.746861925,0.620404412,0.333333333,0.723183392,0.363636364,0.25,0.142857143,1,0.716529223,0.75,0.652346592,0.542538272,0.571428571
40,40,20160521KTHH0,20160521,HH,D,0.340909091,6,0.272727273,0.5,0,0,0,0.319148936,10,0.407407407,0.553191489,1,0.170212766,0.3125,14,0,0.589285714,WIN,1,34,2016,0.460227273,0.280701754,0.506493507,0.344444444,0,0,0,0.615501519,0.625,0.655973965,0.466755319,0.166666667,0.380475595,0.3125,0.75,0,0.589285714,0.605280009,0.666666667,0.465308097,0.277410565,0.294642857
41,41,20160522KTHH0,20160522,HH,L,0.638297872,18,0.085106383,0.555555556,0,1,2,0.275,1,0.292682927,0.725,3,0.175,0.2,7,1,1,LOSE,0,34,2016,0.861702127,0.842105263,0.158054711,0.38271605,0,0.25,0.5,0.530357142,0.0625,0.411164405,0.61171875,0.5,0.391176471,0.2,0.3125,0.142857143,1,0.267882818,0.583333333,0.498518324,0.444669118,0.571428571
42,42,20160524HHWO0,20160524,HH,L,0.2,2.25,0.24,0.5,1,1,0,0.15625,4,0.25,0.21875,0,0.03125,0.142857143,8,0,0,LOSE,0,34,2016,0.27,0.105263158,0.445714286,0.344444444,0.333333333,0.25,0,0.301339285,0.25,0.320083682,0.184570313,0,0.069852941,0.142857143,0.375,0,0,0.681501671,0.638888889,0.33009764,0.209427521,0
43,43,20160525HHWO0,20160525,HH,L,0.447368421,9.346153846,0.131578947,0.692307692,0,1,2,0.378378378,3,0.414634146,0.756756757,2,0.216216216,0.222222222,7,0,0.589285714,LOSE,0,34,2016,0.603947368,0.437246964,0.244360902,0.476923077,0,0.25,0.5,0.729729728,0.1875,0.67139504,0.638513514,0.333333333,0.483306836,0.222222222,0.3125,0,0.589285714,0.431560873,0.583333333,0.40104498,0.431590598,0.294642857
44,44,20160526HHWO0,20160526,HH,W,0.322580645,6,0.258064516,0.666666667,0,1,0,0.342105263,6,0.418604651,0.447368421,0,0.131578947,0.333333333,10,0,0,WIN,3,37,2016,0.435483871,0.280701754,0.479262673,0.45925926,0,0.25,0,0.659774435,0.375,0.679867665,0.377467105,0,0.294117646,0.333333333,0.5,0,0,0.575954447,0.75,0.331488612,0.281862745,0
45,45,20160527LTHH0,20160527,HH,W,0.424242424,7,0.151515152,0.444444444,1,2,0,0.41025641,8,0.488888889,0.615384615,0,0.282051282,0.368421053,12,2,1,WIN,3,40,2016,0.572727272,0.32748538,0.281385283,0.306172839,0.333333333,0.5,0,0.79120879,0.5,0.829846583,0.519230769,0,0.630467572,0.368421053,0.625,0.285714286,1,0.518749948,0.722222222,0.631671614,0.343472156,0.642857143
46,46,20160528LTHH0,20160528,HH,W,0.387096774,6,0.064516129,1.222222222,0,3,0,0.333333333,3,0.384615385,0.722222222,1,0.222222222,0.375,6,0,0.589285714,WIN,3,43,2016,0.522580645,0.280701754,0.119815668,0.841975309,0,0.75,0,0.642857142,0.1875,0.607338269,0.609375,0.166666667,0.496732026,0.375,0.25,0,0.589285714,0.36863949,0.916666667,0.468647968,0.447099673,0.294642857
47,47,20160529LTHH0,20160529,HH,W,0.3125,2,0.25,0,0,1,0,0.3125,4,0.371428571,0.6875,2,0.28125,0.8,3,1,1,WIN,3,46,2016,0.421875,0.093567251,0.464285715,0,0,0.25,0,0.602678571,0.25,0.579199043,0.580078125,0.333333333,0.628676471,0.8,0.0625,0.142857143,1,0.737210866,0.75,0.657517002,0.674877451,0.571428571
48,48,20160531SKHH0,20160531,HH,W,0.34375,4,0.28125,0.222222222,0,1,0,0.4,4,0.435897436,0.685714286,1,0.228571429,0.444444444,8,0,0.589285714,WIN,3,49,2016,0.4640625,0.187134503,0.522321429,0.15308642,0,0.25,0,0.771428571,0.25,0.716768587,0.578571429,0.166666667,0.510924371,0.444444444,0.375,0,0.589285714,0.679509502,0.75,0.504698804,0.43675887,0.294642857
49,49,20160601SKHH0,20160601,HH,L,0.461538462,7,0.205128205,0.222222222,0,0,0,0.285714286,0,0.285714286,0.457142857,0,0.057142857,0.333333333,6,0,0,LOSE,0,49,2016,0.623076923,0.32748538,0.380952381,0.15308642,0,0,0,0.551020408,0,0.396294083,0.385714286,0,0.127731092,0.333333333,0.25,0,0,0.569325914,0.666666667,0.308998145,0.302766106,0
50,50,20160602SKHH0,20160602,HH,W,0.166666667,1,0.233333333,0.222222222,0,1,0,0.303030303,4,0.378378378,0.484848485,1,0.121212121,0.111111111,9,1,0.5,WIN,3,52,2016,0.225,0.046783626,0.433333333,0.15308642,0,0.25,0,0.584415584,0.25,0.594029175,0.409090909,0.166666667,0.270944741,0.111111111,0.4375,0.142857143,0.5,0.752115822,0.75,0.536243241,0.27780563,0.321428571
51,51,20160603HHSS0,20160603,HH,W,0.266666667,2.25,0.222222222,0.416666667,1,1,0,0.2,5,0.265306122,0.288888889,1,0.088888889,0.25,10,3,0.75,WIN,3,55,2016,0.36,0.105263158,0.412698413,0.287037037,0.333333333,0.25,0,0.385714285,0.3125,0.352745281,0.24375,0.166666667,0.198692811,0.25,0.5,0.428571429,0.75,0.665099554,0.638888889,0.620639968,0.278839869,0.589285714
52,52,20160604HHSS0,20160604,HH,W,0.485714286,7,0.142857143,0.777777778,1,2,1,0.324324324,3,0.358974359,0.648648649,1,0.216216216,0.4,6,0,0.589285714,WIN,3,58,2016,0.655714286,0.32748538,0.265306123,0.535802469,0.333333333,0.5,0.25,0.625482624,0.1875,0.552623109,0.547297298,0.166666667,0.483306836,0.4,0.25,0,0.589285714,0.436575997,0.638888889,0.41618765,0.449993376,0.294642857
53,53,20160605HHSS0,20160605,HH,W,0.361111111,4.5,0.166666667,0.5,0,0,1,0.25,7,0.333333333,0.35,0,0.15,0.285714286,13,1,1,WIN,3,61,2016,0.4875,0.210526316,0.30952381,0.344444444,0,0,0.25,0.482142857,0.4375,0.497907949,0.2953125,0,0.335294118,0.285714286,0.6875,0.142857143,1,0.566763263,0.583333333,0.573238435,0.233377101,0.571428571
54,54,20160607HTHH0,20160607,HH,W,0.322580645,3,0.258064516,0.444444444,0,2,0,0.275862069,6,0.388888889,0.551724138,2,0.172413793,0.285714286,7,0,0,WIN,3,64,2016,0.435483871,0.140350877,0.479262673,0.306172839,0,0.5,0,0.532019704,0.375,0.616457462,0.465517242,0.333333333,0.385395537,0.285714286,0.3125,0,0,0.649313771,0.833333333,0.370661776,0.422985789,0
55,55,20160608HTHH0,20160608,HH,W,0.161290323,3,0.161290323,0.333333333,0,1,0,0.333333333,4,0.4,0.5,1,0.138888889,0.2,11,2,1,WIN,3,67,2016,0.217741936,0.140350877,0.299539172,0.229629629,0,0.25,0,0.642857142,0.25,0.640167364,0.421875,0.166666667,0.310457517,0.2,0.5625,0.285714286,1,0.677954182,0.75,0.678417117,0.278656046,0.642857143
56,56,20160609HTHH0,20160609,HH,L,0.409090909,12,0.181818182,0.333333333,1,0,0,0.161290323,2,0.212121212,0.290322581,1,0.032258065,0,6,0,0.589285714,LOSE,0,67,2016,0.552272727,0.561403509,0.337662338,0.229629629,0.333333333,0,0,0.311059908,0.125,0.239254469,0.244959678,0.166666667,0.072106263,0,0.25,0,0.589285714,0.498589118,0.555555556,0.410857597,0.247193232,0.294642857
57,57,20160610LGHH0,20160610,HH,W,0.2,0.9,0.142857143,0.4,0,0,1,0.25,1,0.25,0.416666667,1,0.055555556,0.2,7,0,0.589285714,WIN,3,70,2016,0.27,0.042105263,0.265306123,0.275555556,0,0,0.25,0.482142857,0.0625,0.320083682,0.3515625,0.166666667,0.124183008,0.2,0.3125,0,0.589285714,0.669411326,0.583333333,0.460507593,0.294587419,0.294642857
58,58,20160611LGHH0,20160611,HH,L,0.394736842,5,0.184210526,0.222222222,0,1,1,0.242424242,8,0.390243902,0.242424242,0,0.090909091,0.222222222,11,0,0.589285714,LOSE,0,70,2016,0.532894737,0.233918129,0.342105263,0.15308642,0,0.25,0.25,0.467532466,0.5,0.619348912,0.204545454,0,0.203208556,0.222222222,0.5625,0,0.589285714,0.605551495,0.666666667,0.465375969,0.215732695,0.294642857
59,59,20160612LGHH0,20160612,HH,W,0.457142857,5,0.142857143,0.222222222,0,2,0,0.323529412,8,0.428571429,0.558823529,2,0.176470588,0.3,10,0,0.589285714,WIN,3,73,2016,0.617142857,0.233918129,0.265306123,0.15308642,0,0.5,0,0.62394958,0.5,0.701135685,0.471507353,0.333333333,0.394463667,0.3,0.5,0,0.589285714,0.565289679,0.833333333,0.496977182,0.38194925,0.294642857
60,60,20160614HHKT0,20160614,HH,L,0.321428571,5.625,0.142857143,1,0,2,1,0.205882353,5,0.289473684,0.441176471,2,0.088235294,0,9,0,0,LOSE,0,73,2016,0.433928571,0.263157895,0.265306123,0.688888889,0,0.5,0.25,0.397058823,0.3125,0.404316229,0.372242647,0.333333333,0.197231834,0,0.4375,0,0,0.469832692,0.75,0.304958173,0.273266292,0
61,61,20160616HHKT0,20160616,HH,L,0.387096774,7.875,0.129032258,0.625,1,2,2,0.324324324,1,0.324324324,0.513513514,1,0.108108108,0.222222222,7,0,0.589285714,LOSE,0,73,2016,0.522580645,0.368421053,0.239631336,0.430555556,0.333333333,0.5,0.5,0.625482624,0.0625,0.478683704,0.433277028,0.166666667,0.241653418,0.222222222,0.3125,0,0.589285714,0.479518521,0.555555556,0.406089948,0.329510577,0.294642857
62,62,20160617WOHH0,20160617,HH,W,0.25,5,0.28125,0.777777778,1,1,0,0.366666667,4,0.428571429,0.833333333,3,0.266666667,0.428571429,5,1,0.333333333,WIN,3,76,2016,0.3375,0.233918129,0.522321429,0.535802469,0.333333333,0.25,0,0.707142857,0.25,0.701135685,0.703125,0.5,0.596078432,0.428571429,0.1875,0.142857143,0.333333333,0.603775208,0.638888889,0.429713643,0.584287465,0.238095238
63,63,20160618WOHH0,20160618,HH,L,0.414634146,11,0.243902439,0.444444444,0,0,3,0.297297297,3,0.341463415,0.594594595,1,0.162162162,0.3,8,0,0.589285714,LOSE,0,76,2016,0.559756097,0.514619883,0.452961673,0.306172839,0,0,0.75,0.573359072,0.1875,0.51525666,0.50168919,0.166666667,0.362480127,0.3,0.375,0,0.589285714,0.518103213,0.416666667,0.381013899,0.363536698,0.294642857
64,64,20160619WOHH0,20160619,HH,L,0.41025641,11,0.102564103,0.666666667,0,1,0,0.257142857,3,0.315789474,0.628571429,1,0.171428571,0.3,5,1,1,LOSE,0,76,2016,0.553846153,0.514619883,0.190476191,0.45925926,0,0.25,0,0.495918367,0.1875,0.460471262,0.530357143,0.166666667,0.383193276,0.3,0.1875,0.142857143,1,0.415687724,0.75,0.577136217,0.415589986,0.571428571
65,65,20160621HHNC0,20160621,HH,W,0.166666667,2,0.266666667,0.444444444,0,0,0,0.305555556,4,0.358974359,0.722222222,2,0.222222222,0.375,6,1,1,WIN,3,79,2016,0.225,0.093567251,0.495238096,0.306172839,0,0,0,0.589285715,0.25,0.552623109,0.609375,0.333333333,0.496732026,0.375,0.25,0.142857143,1,0.717624501,0.666666667,0.631787078,0.48876634,0.571428571
